id,brand,category,event,event_text,name,original_timestamp,timestamp,price,product_id,quantity
ajs-next-ff3e23f24ae86b44f5dc0d1f6fcaf85b,,,product_added_to_wishlist,Product Added to Wishlist,,2022-11-27 22:11:23.518 UTC,2022-11-27 22:11:25.763 UTC,,,
ajs-next-ea299b88aec1fcfbfe25350a0e197f7c,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-04 11:39:58.041 UTC,2023-01-04 11:39:59.707 UTC,,,
ajs-next-7ed8c10e749f51f88a02adb576138b3f,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-26 23:55:40.264 UTC,2023-02-26 23:55:41.751 UTC,,,
ajs-next-d52496487605b6dfe8790ef7b8a50dfc,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-09 19:45:57.044 UTC,2023-03-09 19:45:58.905 UTC,,,
ajs-next-ed32af8596e82bfcb3c152596d964fc3,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-21 01:13:04.71 UTC,2023-01-21 01:13:06.396 UTC,,,
ajs-next-88cf36e8b8489c56097f52c636fe5b24,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-23 03:46:52.123 UTC,2023-01-23 03:46:53.663 UTC,,,
ajs-next-20b71ac57ab7eb34fc8b536b7ab564dd,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-23 09:22:42.166 UTC,2023-01-23 09:22:45.091 UTC,,,
ajs-next-0d7fcd348793e91c2d493c76c3a83ca8,,,product_added_to_wishlist,Product Added to Wishlist,,2022-12-11 02:12:48.444 UTC,2022-12-11 02:12:50.783 UTC,,,
ajs-next-a9f12a36d04daf0d5f6f39a427044e15,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-08 07:51:55.017 UTC,2023-03-08 07:51:58.671 UTC,,,
ajs-next-cac385e03ca6bc67980dc42e3f60a11c,,,product_added_to_wishlist,Product Added to Wishlist,,2022-12-21 07:04:03.597 UTC,2022-12-21 07:04:06.126 UTC,,,
ajs-next-d931c54e60f52f6dfb8285446c505b15,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-15 18:57:59.616 UTC,2023-02-15 18:58:01.569 UTC,,,
ajs-next-de3c1d6a21a4e4cbecc0b9e556f08c59,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-15 09:00:08.466 UTC,2023-03-15 09:00:10.988 UTC,,,
ajs-next-d69f80547fa517d513023779817a3128,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-13 07:06:01.976 UTC,2023-03-13 07:06:04.716 UTC,,,
ajs-next-6c34285351c3094ad97d0e0854648e2c,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-16 07:53:15.211 UTC,2023-01-16 07:53:18.268 UTC,,,
ajs-next-ccfd2cea7b94aaf2131367b70ab44016,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-27 19:03:24.453 UTC,2023-02-27 19:03:27.831 UTC,,,
ajs-next-b8c3dc35fb85464ae954c707956c18a7,,,product_added_to_wishlist,Product Added to Wishlist,,2022-08-26 15:07:49.008 UTC,2022-08-26 15:07:51.651 UTC,,,
ajs-next-65871610a3096a34c0dff8abfd416a71,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-14 05:33:54.387 UTC,2023-01-14 05:33:56.485 UTC,,,
ajs-next-c7b49415498575e8698a1771e57b8ed4,,,product_added_to_wishlist,Product Added to Wishlist,,2022-11-30 16:04:23.699 UTC,2022-11-30 16:04:25.89 UTC,,,
ajs-next-93b9c19d6a477a12b56220125e999f38,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-04 05:42:05.752 UTC,2023-03-04 05:42:09.09 UTC,,,
ajs-next-3bc26b5a652473b3e084ed359bee5baf,,,product_added_to_wishlist,Product Added to Wishlist,,2023-03-16 20:49:51.101 UTC,2023-03-16 20:49:54.117 UTC,,,
ajs-next-ba185a5ada02c9b95b137ed53e08ccc6,,,product_added_to_wishlist,Product Added to Wishlist,,2022-10-08 06:04:51.604 UTC,2022-10-08 06:04:53.593 UTC,,,
ajs-next-e008b6f908a3e9453bacb462bb6286a8,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-18 00:46:43.003 UTC,2023-02-18 00:46:45.269 UTC,,,
ajs-next-9d5ac7481903e1432ed16b9791c8f046,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-08 17:52:12.649 UTC,2023-02-08 17:52:16.106 UTC,,,
ajs-next-5271314294dcf5585d35950fe6b1bf8d,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-13 11:48:16.122 UTC,2023-01-13 11:48:19.819 UTC,,,
ajs-next-324279f36ee6131700d926bf0e70b278,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-02 12:11:04.195 UTC,2023-01-02 12:11:07.879 UTC,,,
ajs-next-538a9cb3422083e8d2db2a0e5b4bac3c,,,product_added_to_wishlist,Product Added to Wishlist,,2022-11-18 11:42:04.34 UTC,2022-11-18 11:42:07.228 UTC,,,
ajs-next-d88737b457d646c172a24a900286d256,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-09 02:11:36.001 UTC,2023-01-09 02:11:39.652 UTC,,,
ajs-next-d4ea0b4df3b05b6840e50af98eaf1409,,,product_added_to_wishlist,Product Added to Wishlist,,2023-02-20 00:44:07.91 UTC,2023-02-20 00:44:11.672 UTC,,,
ajs-next-fa06be635cd0fe7fc0e2226653b2c19b,,,product_added_to_wishlist,Product Added to Wishlist,,2023-01-04 11:39:58.057 UTC,2023-01-04 11:40:00.59 UTC,,,
