id,event,event_text,original_timestamp,timestamp,products
ajs-next-f48bef66c9e910c51196894fbcb85f26,order_completed,Order Completed,2023-02-24 02:00:25.855000 UTC,2023-02-24 02:00:26.311000 UTC,"[{""brand"":""Lakme"",""name"":""Lakme 9To5 Weightless Mousse Lip \u0026 Cheek Color - Burgundy Lush (9g)"",""price"":595,""product_id"":7539130,""quantity"":1}]"
ajs-next-92eccce80acb3b0402e856bdd24a0f11,order_completed,Order Completed,2022-12-28 06:18:21.566000 UTC,2022-12-28 06:18:22.135000 UTC,"[{""brand"":""Royal Mirage"",""name"":""Royal Mirage Original Long Lasting Eau De Cologne Spray (120ml)"",""price"":1045,""product_id"":7536605,""quantity"":1},{""brand"":""Beardo"",""name"":""Beardo Dark Side Eau De Parfum (100ml)"",""price"":1500,""product_id"":7536621,""quantity"":1}]"
ajs-next-a216ff1ad3b3b121e7fc3b8e860e01b8,order_completed,Order Completed,2023-01-05 04:57:23.820000 UTC,2023-01-05 04:57:23.996000 UTC,"[{""brand"":""Vega"",""name"":""Tail Comb, (1243)"",""price"":89,""product_id"":7507949,""quantity"":1},{""brand"":""Lux"",""name"":""Lux Fresh Splash Water Lily \u0026 Cooling Mint Soap - (100g)"",""price"":38,""product_id"":7527685,""quantity"":1},{""brand"":""Vega"",""name"":""Vega General Cutting Scissors - SCS-01 (1Pc)"",""price"":180,""product_id"":7540292,""quantity"":1}]"
ajs-next-72bd73523dd7a3f4cb6d4bdf87eefaa8,order_completed,Order Completed,2023-03-29 08:45:00.232000 UTC,2023-03-29 08:45:00.363000 UTC,"[{""brand"":""Ustraa"",""name"":""Ustraa Hair Growth Vitalizer Serum - (100ml)"",""price"":559,""product_id"":7528458,""quantity"":1}]"
ajs-next-c9cde005015743dcf3473dcbef9f381e,order_completed,Order Completed,2023-03-29 17:55:16.129000 UTC,2023-03-29 17:55:16.561000 UTC,"[{""brand"":""Biotique"",""name"":""Biotique Bio Kelp Protein Shampoo for Falling Hair - (650ml)"",""price"":416,""product_id"":7528554,""quantity"":1},{""brand"":""Biotique"",""name"":""Biotique Bio White Advanced Fairness Facewash - (200ml)"",""price"":240,""product_id"":7531200,""quantity"":1},{""brand"":""Minimalist"",""name"":""Minimalist Multi-vitamin SPF 50 PA ++++ Sunscreen - (50g)"",""price"":399,""product_id"":7531921,""quantity"":1},{""brand"":""Minimalist"",""name"":""Minimalist Vitamin B5 10% Oil Free Moisturizer With Zinc Copper Magnesium \u0026 HA (50g)"",""price"":349,""product_id"":7553448,""quantity"":1},{""brand"":""Minimalist"",""name"":""Minimalist 16% Vitamin C Serum With Vitamin E \u0026 Ferulic Acid For Brightening (20ml)"",""price"":599,""product_id"":7553449,""quantity"":1}]"
ajs-next-2e306a6e6317402d34301141be5b0879,order_completed,Order Completed,2023-03-07 06:08:59.303000 UTC,2023-03-07 06:09:00.208000 UTC,"[{""brand"":""Lakme"",""name"":""Lakme 9To5 Primer + Matte Lip Color - Mp1 Pink Perfect (3.6g)"",""price"":368,""product_id"":7539205,""quantity"":1}]"
ajs-next-37ef8038608439b4b4606a8fec594e7d,order_completed,Order Completed,2023-03-07 09:11:23.109000 UTC,2023-03-07 09:11:24.308000 UTC,"[{""brand"":""The Man Company"",""name"":""The Man Company Blanc Eau De Toilette (100ml)"",""price"":1151,""product_id"":7533765,""quantity"":1}]"
ajs-next-74cd0f5f016889c8bc1e37db697c3e88,order_completed,Order Completed,2023-03-07 05:40:49.053000 UTC,2023-03-07 05:40:49.169000 UTC,"[{""brand"":""RENEE"",""name"":""RENEE Fab 5 5-In-1 Lipstick (7.5g)"",""price"":600,""product_id"":7519404,""quantity"":1},{""brand"":""Lakme"",""name"":""Lakme 9To5 Primer + Matte Lip Color - Mm1 Mauve Matter (3.6g)"",""price"":368,""product_id"":7539204,""quantity"":1}]"
ajs-next-a479eeb7af27152bbc13877c13f600ac,order_completed,Order Completed,2023-03-07 08:09:15.353000 UTC,2023-03-07 08:09:16.024000 UTC,"[{""brand"":""Vega"",""name"":""Vega 3-In-1 Keratin Straightener Curler And Crimper Hair Styler VHSCC-03"",""price"":1979,""product_id"":7540222,""quantity"":1},{""brand"":""Maybelline New York"",""name"":""Maybelline New York Fit Me Concealer - 15 Fair (6.8ml)"",""price"":479,""product_id"":7540726,""quantity"":1},{""brand"":""Maybelline New York"",""name"":""Maybelline New York Fit Me Matte + Poreless Liquid Foundation SPF 22 - 238 Rich Tan (30ml)"",""price"":599,""product_id"":7540783,""quantity"":1}]"
ajs-next-d488faafc9d60804a5ba6e67b6e37a35,order_completed,Order Completed,2023-03-07 07:36:13.612000 UTC,2023-03-07 07:36:13.556000 UTC,"[{""brand"":""Maybelline New York"",""name"":""Maybelline New York Fit Me Matte + Poreless Liquid Foundation Tube SPF 22 - 128 Warm Nude (18ml)"",""price"":239,""product_id"":7540757,""quantity"":1}]"
